flight_number | number of plastic waste | number of metal waste | number of other waste |                                                                   
    AZ7831    |            4            |           1           |           0           |
    QT2986    |            0            |           3           |           5           |
    BP1547    |           67            |          22           |           9           |
    WF9823    |            2            |           0           |           0           |
    KC3459    |           45            |          18           |          34           |
    LF6782    |            0            |           0           |           0           |
    MH1920    |           12            |           7           |          19           |
    XD4567    |           23            |          56           |          78           |
    JE8901    |           89            |          10           |          15           |
    RC5432    |            0            |           0           |           0           |
    LE1357    |           38            |          25           |          13           |
    ZT8642    |            1            |           9           |           2           |
    UY2468    |           99            |          88           |          77           |
    NX7531    |           14            |          29           |          45           |
    OP3698    |            5            |           3           |           1           |
    QM7410    |           20            |          30           |           0           |
    VN8524    |            6            |           6           |           6           |
    SB1597    |            0            |           0           |           0           |
    AD7539    |           27            |          18           |          12           |
    FE3694    |           33            |          11           |          22           |
    TG5738    |           10            |          50           |          30           |
    PX4172    |           48            |          64           |          32           |
    DL2816    |            0            |           0           |           0           |
    HE9301    |           19            |           7           |           3           |
    YK4803    |           15            |          15           |          15           |
    OJ2751    |           36            |           2           |          42           |
    QW6935    |            0            |           0           |           0           |
    RE4860    |           53            |          27           |          19           |
    SW2948    |            2            |           2           |           2           |
    TB1709    |           17            |          34           |          51           |
    UC5482    |           22            |          44           |          66           |
    VI9623    |           11            |          25           |          37           |
    XY7184    |            0            |           0           |           0           |
    ZD9321    |           39            |           8           |           5           |
    HG3458    |           28            |          14           |           3           |
    MJ6543    |           18            |          36           |          54           |
    BY1290    |            3            |           9           |           8           |
    NK8702    |           54            |          27           |          13           |
    PL4568    |           42            |          21           |          10           |
    QA6789    |            0            |           0           |           0           |
    RT5431    |           26            |          13           |          19           |
    SX7890    |           66            |          33           |          99           |
    DV2345    |           12            |           4           |           2           |
    FH9012    |           31            |          62           |          93           |
    GT5678    |            0            |           0           |           0           |
    IK1234    |           45            |          90           |         135           |
    UJ9876    |           20            |          30           |           5           |
    KM4321    |           59            |          82           |         103           |
    OL6789    |            0            |           0           |           0           |
    PY3450    |           99            |          44           |          12           |
    QS7891    |           14            |          14           |          14           |
    XA1238    |           24            |          48           |          72           |
    YB5670    |           17            |          34           |          51           |
    ZF8910    |            0            |           0           |           0           |
    AC4567    |           30            |          15           |           0           |
    BD8902    |           23            |          46           |          69           |
    CE1234    |           19            |           3           |          25           |
    AB1234    |            1            |           1           |           0           |
    AB2345    |            1            |           1           |           0           |
    AB6789    |            1            |           1           |           0           |
